@relation hepatitis

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
31,1,100,23,0.813008,0.96875,0.236641,0.96875,0.763359,0.380368,0.845161,1.146231,0.000006
31,1,99,24,0.804878,0.96875,0.238462,0.96875,0.761538,0.382716,0.83871,1.155048,0.000007
31,1,98,25,0.796748,0.96875,0.24031,0.96875,0.75969,0.385093,0.832258,1.164002,0.000007
31,1,97,26,0.788618,0.96875,0.242188,0.96875,0.757813,0.3875,0.825806,1.173096,0.000009
31,1,96,27,0.780488,0.96875,0.244094,0.96875,0.755906,0.389937,0.819355,1.182333,0.000009
31,1,95,28,0.772358,0.96875,0.246032,0.96875,0.753968,0.392405,0.812903,1.191716,0.000011
31,1,94,29,0.764228,0.96875,0.248,0.96875,0.752,0.394904,0.806452,1.20125,0.000016
31,1,93,30,0.756098,0.96875,0.25,0.96875,0.75,0.397436,0.8,1.210938,0.000016
31,1,92,31,0.747967,0.96875,0.252033,0.96875,0.747967,0.4,0.793548,1.220783,0.000017
31,1,91,32,0.739837,0.96875,0.254098,0.96875,0.745902,0.402597,0.787097,1.230789,0.00002
31,1,90,33,0.731707,0.96875,0.256198,0.96875,0.743802,0.405229,0.780645,1.240961,0.000024
31,1,89,34,0.723577,0.96875,0.258333,0.96875,0.741667,0.407895,0.774194,1.251302,0.000028
31,1,88,35,0.715447,0.96875,0.260504,0.96875,0.739496,0.410596,0.767742,1.261817,0.000031
31,1,87,36,0.707317,0.96875,0.262712,0.96875,0.737288,0.413333,0.76129,1.272511,0.000032
31,1,86,37,0.699187,0.96875,0.264957,0.96875,0.735043,0.416107,0.754839,1.283387,0.00005
31,1,85,38,0.691057,0.96875,0.267241,0.96875,0.732759,0.418919,0.748387,1.29445,0.000057
31,1,84,39,0.682927,0.96875,0.269565,0.96875,0.730435,0.421769,0.741935,1.305707,0.000064
31,1,83,40,0.674797,0.96875,0.27193,0.96875,0.72807,0.424658,0.735484,1.31716,0.000076
31,1,82,41,0.666667,0.96875,0.274336,0.96875,0.725664,0.427586,0.729032,1.328816,0.00008
31,1,81,42,0.658537,0.96875,0.276786,0.96875,0.723214,0.430556,0.722581,1.340681,0.000085
31,1,80,43,0.650407,0.96875,0.279279,0.96875,0.720721,0.433566,0.716129,1.352759,0.000088
31,1,79,44,0.642276,0.96875,0.281818,0.96875,0.718182,0.43662,0.709677,1.365057,0.000095
30,2,79,44,0.642276,0.9375,0.275229,0.9375,0.724771,0.425532,0.703226,1.333142,0.0001
30,2,78,45,0.634146,0.9375,0.277778,0.9375,0.722222,0.428571,0.696774,1.345486,0.000108
30,2,77,46,0.626016,0.9375,0.280374,0.9375,0.719626,0.431655,0.690323,1.358061,0.000128
30,2,76,47,0.617886,0.9375,0.283019,0.9375,0.716981,0.434783,0.683871,1.370873,0.000164
30,2,75,48,0.609756,0.9375,0.285714,0.9375,0.714286,0.437956,0.677419,1.383929,0.000167
30,2,74,49,0.601626,0.9375,0.288462,0.9375,0.711538,0.441176,0.670968,1.397236,0.00022
30,2,73,50,0.593496,0.9375,0.291262,0.9375,0.708738,0.444444,0.664516,1.410801,0.000285
30,2,72,51,0.585366,0.9375,0.294118,0.9375,0.705882,0.447761,0.658065,1.424632,0.000286
30,2,71,52,0.577236,0.9375,0.29703,0.9375,0.70297,0.451128,0.651613,1.438738,0.00029
30,2,70,53,0.569106,0.9375,0.3,0.9375,0.7,0.454545,0.645161,1.453125,0.000368
30,2,69,54,0.560976,0.9375,0.30303,0.9375,0.69697,0.458015,0.63871,1.467803,0.000369
30,2,68,55,0.552846,0.9375,0.306122,0.9375,0.693878,0.461538,0.632258,1.482781,0.000463
30,2,67,56,0.544715,0.9375,0.309278,0.9375,0.690722,0.465116,0.625806,1.498067,0.00053
29,3,67,56,0.544715,0.90625,0.302083,0.90625,0.697917,0.453125,0.619355,1.463216,0.000552
29,3,66,57,0.536585,0.90625,0.305263,0.90625,0.694737,0.456693,0.612903,1.478618,0.0006
29,3,65,58,0.528455,0.90625,0.308511,0.90625,0.691489,0.460317,0.606452,1.494348,0.000616
29,3,64,59,0.520325,0.90625,0.311828,0.90625,0.688172,0.464,0.6,1.510417,0.000629
29,3,63,60,0.512195,0.90625,0.315217,0.90625,0.684783,0.467742,0.593548,1.526834,0.000687
29,3,62,61,0.504065,0.90625,0.318681,0.90625,0.681319,0.471545,0.587097,1.543613,0.000766
29,3,61,62,0.495935,0.90625,0.322222,0.90625,0.677778,0.47541,0.580645,1.560764,0.000919
29,3,60,63,0.487805,0.90625,0.325843,0.90625,0.674157,0.479339,0.574194,1.578301,0.000919
29,3,59,64,0.479675,0.90625,0.329545,0.90625,0.670455,0.483333,0.567742,1.596236,0.000924
29,3,58,65,0.471545,0.90625,0.333333,0.90625,0.666667,0.487395,0.56129,1.614583,0.000974
29,3,57,66,0.463415,0.90625,0.337209,0.90625,0.662791,0.491525,0.554839,1.633358,0.001061
29,3,56,67,0.455285,0.90625,0.341176,0.90625,0.658824,0.495726,0.548387,1.652574,0.001285
29,3,55,68,0.447154,0.90625,0.345238,0.90625,0.654762,0.5,0.541935,1.672247,0.001293
29,3,54,69,0.439024,0.90625,0.349398,0.90625,0.650602,0.504348,0.535484,1.692395,0.001444
29,3,53,70,0.430894,0.90625,0.353659,0.90625,0.646341,0.508772,0.529032,1.713034,0.001644
29,3,52,71,0.422764,0.90625,0.358025,0.90625,0.641975,0.513274,0.522581,1.734182,0.001647
29,3,51,72,0.414634,0.90625,0.3625,0.90625,0.6375,0.517857,0.516129,1.755859,0.001999
29,3,50,73,0.406504,0.90625,0.367089,0.90625,0.632911,0.522523,0.509677,1.778085,0.002298
29,3,49,74,0.398374,0.90625,0.371795,0.90625,0.628205,0.527273,0.503226,1.800881,0.002355
29,3,48,75,0.390244,0.90625,0.376623,0.90625,0.623377,0.53211,0.496774,1.824269,0.002829
29,3,47,76,0.382114,0.90625,0.381579,0.90625,0.618421,0.537037,0.490323,1.848273,0.003375
29,3,46,77,0.373984,0.90625,0.386667,0.90625,0.613333,0.542056,0.483871,1.872917,0.003399
29,3,45,78,0.365854,0.90625,0.391892,0.90625,0.608108,0.54717,0.477419,1.898226,0.003997
28,4,45,78,0.365854,0.875,0.383562,0.875,0.616438,0.533333,0.470968,1.857877,0.005239
28,4,44,79,0.357724,0.875,0.388889,0.875,0.611111,0.538462,0.464516,1.883681,0.006
28,4,43,80,0.349593,0.875,0.394366,0.875,0.605634,0.543689,0.458065,1.910211,0.006333
27,5,43,80,0.349593,0.84375,0.385714,0.84375,0.614286,0.529412,0.451613,1.868304,0.007636
27,5,42,81,0.341463,0.84375,0.391304,0.84375,0.608696,0.534653,0.445161,1.89538,0.00826
27,5,41,82,0.333333,0.84375,0.397059,0.84375,0.602941,0.54,0.43871,1.923254,0.008459
27,5,40,83,0.325203,0.84375,0.402985,0.84375,0.597015,0.545455,0.432258,1.951959,0.008561
27,5,39,84,0.317073,0.84375,0.409091,0.84375,0.590909,0.55102,0.425806,1.981534,0.008711
27,5,38,85,0.308943,0.84375,0.415385,0.84375,0.584615,0.556701,0.419355,2.012019,0.009821
27,5,37,86,0.300813,0.84375,0.421875,0.84375,0.578125,0.5625,0.412903,2.043457,0.012121
27,5,36,87,0.292683,0.84375,0.428571,0.84375,0.571429,0.568421,0.406452,2.075893,0.014429
27,5,35,88,0.284553,0.84375,0.435484,0.84375,0.564516,0.574468,0.4,2.109375,0.016254
26,6,35,88,0.284553,0.8125,0.42623,0.8125,0.57377,0.55914,0.393548,2.064549,0.017438
26,6,34,89,0.276423,0.8125,0.433333,0.8125,0.566667,0.565217,0.387097,2.098958,0.017448
26,6,33,90,0.268293,0.8125,0.440678,0.8125,0.559322,0.571429,0.380645,2.134534,0.0185
26,6,32,91,0.260163,0.8125,0.448276,0.8125,0.551724,0.577778,0.374194,2.171336,0.022982
26,6,31,92,0.252033,0.8125,0.45614,0.8125,0.54386,0.58427,0.367742,2.20943,0.025119
26,6,30,93,0.243902,0.8125,0.464286,0.8125,0.535714,0.590909,0.36129,2.248884,0.032617
26,6,29,94,0.235772,0.8125,0.472727,0.8125,0.527273,0.597701,0.354839,2.289773,0.039387
26,6,28,95,0.227642,0.8125,0.481481,0.8125,0.518519,0.604651,0.348387,2.332176,0.042542
26,6,27,96,0.219512,0.8125,0.490566,0.8125,0.509434,0.611765,0.341935,2.376179,0.046326
26,6,26,97,0.211382,0.8125,0.5,0.8125,0.5,0.619048,0.335484,2.421875,0.057631
26,6,25,98,0.203252,0.8125,0.509804,0.8125,0.490196,0.626506,0.329032,2.469363,0.073217
25,7,25,98,0.203252,0.78125,0.5,0.78125,0.5,0.609756,0.322581,2.421875,0.090824
25,7,24,99,0.195122,0.78125,0.510204,0.78125,0.489796,0.617284,0.316129,2.471301,0.091828
25,7,23,100,0.186992,0.78125,0.520833,0.78125,0.479167,0.625,0.309677,2.522786,0.107692
25,7,22,101,0.178862,0.78125,0.531915,0.78125,0.468085,0.632911,0.303226,2.576463,0.121901
25,7,21,102,0.170732,0.78125,0.543478,0.78125,0.456522,0.641026,0.296774,2.632473,0.199063
24,8,21,102,0.170732,0.75,0.533333,0.75,0.466667,0.623377,0.290323,2.583333,0.259036
24,8,20,103,0.162602,0.75,0.545455,0.75,0.454545,0.631579,0.283871,2.642045,0.320849
24,8,19,104,0.154472,0.75,0.55814,0.75,0.44186,0.64,0.277419,2.703488,0.322481
24,8,18,105,0.146341,0.75,0.571429,0.75,0.428571,0.648649,0.270968,2.767857,0.344043
24,8,17,106,0.138211,0.75,0.585366,0.75,0.414634,0.657534,0.264516,2.835366,0.366436
23,9,17,106,0.138211,0.71875,0.575,0.71875,0.425,0.638889,0.258065,2.785156,0.371791
23,9,16,107,0.130081,0.71875,0.589744,0.71875,0.410256,0.647887,0.251613,2.856571,0.421847
22,10,16,107,0.130081,0.6875,0.578947,0.6875,0.421053,0.628571,0.245161,2.804276,0.440598
22,10,15,108,0.121951,0.6875,0.594595,0.6875,0.405405,0.637681,0.23871,2.880068,0.483113
22,10,14,109,0.113821,0.6875,0.611111,0.6875,0.388889,0.647059,0.232258,2.960069,0.590387
22,10,13,110,0.105691,0.6875,0.628571,0.6875,0.371429,0.656716,0.225806,3.044643,0.745749
21,11,13,110,0.105691,0.65625,0.617647,0.65625,0.382353,0.636364,0.219355,2.991728,0.755472
21,11,12,111,0.097561,0.65625,0.636364,0.65625,0.363636,0.646154,0.212903,3.082386,0.777165
21,11,11,112,0.089431,0.65625,0.65625,0.65625,0.34375,0.65625,0.206452,3.178711,0.780136
21,11,10,113,0.081301,0.65625,0.677419,0.65625,0.322581,0.666667,0.2,3.28125,0.784391
21,11,9,114,0.073171,0.65625,0.7,0.65625,0.3,0.677419,0.193548,3.390625,0.787883
20,12,9,114,0.073171,0.625,0.689655,0.625,0.310345,0.655738,0.187097,3.340517,0.820971
19,13,9,114,0.073171,0.59375,0.678571,0.59375,0.321429,0.633333,0.180645,3.28683,0.856892
19,13,8,115,0.065041,0.59375,0.703704,0.59375,0.296296,0.644068,0.174194,3.408565,0.874861
18,14,8,115,0.065041,0.5625,0.692308,0.5625,0.307692,0.62069,0.167742,3.353365,0.898732
17,15,8,115,0.065041,0.53125,0.68,0.53125,0.32,0.596491,0.16129,3.29375,0.907981
16,16,8,115,0.065041,0.5,0.666667,0.5,0.333333,0.571429,0.154839,3.229167,0.919867
15,17,8,115,0.065041,0.46875,0.652174,0.46875,0.347826,0.545455,0.148387,3.158967,0.931459
15,17,7,116,0.056911,0.46875,0.681818,0.46875,0.318182,0.555556,0.141935,3.302557,0.946374
15,17,6,117,0.04878,0.46875,0.714286,0.46875,0.285714,0.566038,0.135484,3.459821,0.976621
15,17,5,118,0.04065,0.46875,0.75,0.46875,0.25,0.576923,0.129032,3.632813,0.976708
15,17,4,119,0.03252,0.46875,0.789474,0.46875,0.210526,0.588235,0.122581,3.824013,0.984167
14,18,4,119,0.03252,0.4375,0.777778,0.4375,0.222222,0.56,0.116129,3.767361,0.993403
14,18,3,120,0.02439,0.4375,0.823529,0.4375,0.176471,0.571429,0.109677,3.988971,0.995064
13,19,3,120,0.02439,0.40625,0.8125,0.40625,0.1875,0.541667,0.103226,3.935547,0.996908
12,20,3,120,0.02439,0.375,0.8,0.375,0.2,0.510638,0.096774,3.875,0.99885
11,21,3,120,0.02439,0.34375,0.785714,0.34375,0.214286,0.478261,0.090323,3.805804,0.999074
11,21,2,121,0.01626,0.34375,0.846154,0.34375,0.153846,0.488889,0.083871,4.098558,0.999541
10,22,2,121,0.01626,0.3125,0.833333,0.3125,0.166667,0.454545,0.077419,4.036458,0.999557
9,23,2,121,0.01626,0.28125,0.818182,0.28125,0.181818,0.418605,0.070968,3.963068,0.999849
8,24,2,121,0.01626,0.25,0.8,0.25,0.2,0.380952,0.064516,3.875,0.999858
7,25,2,121,0.01626,0.21875,0.777778,0.21875,0.222222,0.341463,0.058065,3.767361,0.999862
6,26,2,121,0.01626,0.1875,0.75,0.1875,0.25,0.3,0.051613,3.632813,0.999879
6,26,1,122,0.00813,0.1875,0.857143,0.1875,0.142857,0.307692,0.045161,4.151786,0.999928
5,27,1,122,0.00813,0.15625,0.833333,0.15625,0.166667,0.263158,0.03871,4.036458,1
4,28,1,122,0.00813,0.125,0.8,0.125,0.2,0.216216,0.032258,3.875,1
3,29,1,122,0.00813,0.09375,0.75,0.09375,0.25,0.166667,0.025806,?,1
3,29,0,123,0,0.09375,1,0.09375,0,0.171429,0.019355,?,1
2,30,0,123,0,0.0625,1,0.0625,0,0.117647,0.012903,?,1
0,32,0,123,0,0,0,0,0,0,0,?,1.00001
32,0,123,0,1,1,0.206452,1,0.793548,0.342246,1,1,0
30,2,115,8,0.934959,0.9375,0.206897,0.9375,0.793103,0.338983,0.935484,1.002155,0.032212
30,2,114,9,0.926829,0.9375,0.208333,0.9375,0.791667,0.340909,0.929032,1.009115,0.032474
30,2,113,10,0.918699,0.9375,0.20979,0.9375,0.79021,0.342857,0.922581,1.016171,0.033284
29,3,113,10,0.918699,0.90625,0.204225,0.90625,0.795775,0.333333,0.916129,0.989217,0.035781
28,4,113,10,0.918699,0.875,0.198582,0.875,0.801418,0.323699,0.909677,0.961879,0.035781
28,4,112,11,0.910569,0.875,0.2,0.875,0.8,0.325581,0.903226,0.96875,0.038582
28,4,111,12,0.902439,0.875,0.201439,0.875,0.798561,0.327485,0.896774,0.975719,0.038582
28,4,109,14,0.886179,0.875,0.20438,0.875,0.79562,0.331361,0.883871,0.989964,0.052857
27,5,102,21,0.829268,0.84375,0.209302,0.84375,0.790698,0.335404,0.832258,1.013808,0.052899
26,6,95,28,0.772358,0.8125,0.214876,0.8125,0.785124,0.339869,0.780645,1.040806,0.053061
25,7,87,36,0.707317,0.78125,0.223214,0.78125,0.776786,0.347222,0.722581,1.081194,0.053397
24,8,87,36,0.707317,0.75,0.216216,0.75,0.783784,0.335664,0.716129,1.047297,0.053401
23,9,79,44,0.642276,0.71875,0.22549,0.71875,0.77451,0.343284,0.658065,1.092218,0.055396
22,10,67,56,0.544715,0.6875,0.247191,0.6875,0.752809,0.363636,0.574194,1.197331,0.05852
22,10,57,66,0.463415,0.6875,0.278481,0.6875,0.721519,0.396396,0.509677,1.348892,0.064325
22,10,49,74,0.398374,0.6875,0.309859,0.6875,0.690141,0.427184,0.458065,1.50088,0.064541
22,10,40,83,0.325203,0.6875,0.354839,0.6875,0.645161,0.468085,0.4,1.71875,0.065976
22,10,29,94,0.235772,0.6875,0.431373,0.6875,0.568627,0.53012,0.329032,2.089461,0.130788
20,12,18,105,0.146341,0.625,0.526316,0.625,0.473684,0.571429,0.245161,2.549342,0.136868
19,13,18,105,0.146341,0.59375,0.513514,0.59375,0.486486,0.550725,0.23871,2.487331,0.162262
18,14,17,106,0.138211,0.5625,0.514286,0.5625,0.485714,0.537313,0.225806,2.491071,0.202722
18,14,16,107,0.130081,0.5625,0.529412,0.5625,0.470588,0.545455,0.219355,2.564338,0.210191
16,16,14,109,0.113821,0.5,0.533333,0.5,0.466667,0.516129,0.193548,2.583333,0.232147
16,16,12,111,0.097561,0.5,0.571429,0.5,0.428571,0.533333,0.180645,2.767857,0.267132
16,16,11,112,0.089431,0.5,0.592593,0.5,0.407407,0.542373,0.174194,2.87037,0.274591
16,16,10,113,0.081301,0.5,0.615385,0.5,0.384615,0.551724,0.167742,2.980769,0.308386
16,16,9,114,0.073171,0.5,0.64,0.5,0.36,0.561404,0.16129,3.1,0.317536
16,16,8,115,0.065041,0.5,0.666667,0.5,0.333333,0.571429,0.154839,3.229167,0.321046
16,16,7,116,0.056911,0.5,0.695652,0.5,0.304348,0.581818,0.148387,3.369565,0.332608
15,17,7,116,0.056911,0.46875,0.681818,0.46875,0.318182,0.555556,0.141935,3.302557,0.496318
14,18,7,116,0.056911,0.4375,0.666667,0.4375,0.333333,0.528302,0.135484,3.229167,0.695307
14,18,6,117,0.04878,0.4375,0.7,0.4375,0.3,0.538462,0.129032,3.390625,0.742677
14,18,5,118,0.04065,0.4375,0.736842,0.4375,0.263158,0.54902,0.122581,3.569079,0.78271
14,18,4,119,0.03252,0.4375,0.777778,0.4375,0.222222,0.56,0.116129,3.767361,0.84338
12,20,3,120,0.02439,0.375,0.8,0.375,0.2,0.510638,0.096774,3.875,0.858565
11,21,3,120,0.02439,0.34375,0.785714,0.34375,0.214286,0.478261,0.090323,3.805804,0.861173
11,21,2,121,0.01626,0.34375,0.846154,0.34375,0.153846,0.488889,0.083871,4.098558,0.933586
10,22,2,121,0.01626,0.3125,0.833333,0.3125,0.166667,0.454545,0.077419,4.036458,0.953143
9,23,2,121,0.01626,0.28125,0.818182,0.28125,0.181818,0.418605,0.070968,3.963068,0.971223
7,25,1,122,0.00813,0.21875,0.875,0.21875,0.125,0.35,0.051613,4.238281,0.982939
5,27,1,122,0.00813,0.15625,0.833333,0.15625,0.166667,0.263158,0.03871,4.036458,0.983808
4,28,1,122,0.00813,0.125,0.8,0.125,0.2,0.216216,0.032258,3.875,0.987304
4,28,0,123,0,0.125,1,0.125,0,0.222222,0.025806,?,0.992806
3,29,0,123,0,0.09375,1,0.09375,0,0.171429,0.019355,?,0.992806
0,32,0,123,0,0,0,0,0,0,0,?,0.992816
32,0,123,0,1,1,0.206452,1,0.793548,0.342246,1,1,0.027523
30,2,114,9,0.926829,0.9375,0.208333,0.9375,0.791667,0.340909,0.929032,1.009115,0.045872
30,2,104,19,0.845528,0.9375,0.223881,0.9375,0.776119,0.361446,0.864516,1.084422,0.064815
28,4,92,31,0.747967,0.875,0.233333,0.875,0.766667,0.368421,0.774194,1.130208,0.071429
27,5,80,43,0.650407,0.84375,0.252336,0.84375,0.747664,0.388489,0.690323,1.222255,0.078261
25,7,69,54,0.560976,0.78125,0.265957,0.78125,0.734043,0.396825,0.606452,1.288231,0.079646
22,10,59,64,0.479675,0.6875,0.271605,0.6875,0.728395,0.389381,0.522581,1.315586,0.080357
19,13,47,76,0.382114,0.59375,0.287879,0.59375,0.712121,0.387755,0.425806,1.394413,0.095652
16,16,36,87,0.292683,0.5,0.307692,0.5,0.692308,0.380952,0.335484,1.490385,0.114035
14,18,24,99,0.195122,0.4375,0.368421,0.4375,0.631579,0.4,0.245161,1.784539,0.123967
11,21,13,110,0.105691,0.34375,0.458333,0.34375,0.541667,0.392857,0.154839,2.220052,0.6
11,21,12,111,0.097561,0.34375,0.478261,0.34375,0.521739,0.4,0.148387,2.316576,0.625
11,21,10,113,0.081301,0.34375,0.52381,0.34375,0.47619,0.415094,0.135484,2.537202,0.64
10,22,9,114,0.073171,0.3125,0.526316,0.3125,0.473684,0.392157,0.122581,2.549342,0.666667
8,24,8,115,0.065041,0.25,0.5,0.25,0.5,0.333333,0.103226,2.421875,0.733333
7,25,7,116,0.056911,0.21875,0.5,0.21875,0.5,0.304348,0.090323,2.421875,0.736842
7,25,6,117,0.04878,0.21875,0.538462,0.21875,0.461538,0.311111,0.083871,2.608173,0.785714
5,27,6,117,0.04878,0.15625,0.454545,0.15625,0.545455,0.232558,0.070968,2.201705,0.8
2,30,4,119,0.03252,0.0625,0.333333,0.0625,0.666667,0.105263,0.03871,1.614583,0.833333
1,31,1,122,0.00813,0.03125,0.5,0.03125,0.5,0.058824,0.012903,?,0.888889
0,32,1,122,0.00813,0,0,0,1,0,0.006452,?,0.916667
0,32,0,123,0,0,0,0,0,0,0,?,0.916677
