@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

hepatitis,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,13,2,0,86.666667,13.333333,0,0.583333,0.139358,0.312833,42.648457,78.177258,10.837276,13.189678,-2.352402,0.722485,0.879312,-0.156827,5.034334,0.335622,676.749875,0.666667,2,0.083333,1,0.916667,11,0.333333,1,0.666667,0.666667,0.666667,0.583333,0.805556,0.766667,0.866667,0.283333,0.716667,0.133333,0.866667,0.866667,0.866667,0.583333,0.805556,0.904658,0.791667,0.866667,0.001,0.001,0,0,0,0,6484,29618,5993,93.333333,60,?,?,?,?
hepatitis,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,12,4,0,75,25,0,0.333333,0.26856,0.471856,76.114387,108.403958,13.112639,23.790105,-10.677467,0.81954,1.486882,-0.667342,1.646308,0.102894,224.55841,0.5,2,0.166667,2,0.833333,10,0.5,2,0.5,0.5,0.5,0.333333,0.770833,0.69375,0.75,0.416667,0.583333,0.25,0.75,0.75,0.75,0.333333,0.770833,0.862801,0.666667,0.75,0.001,0,0,0,0,0,6484,29429,6182,87.5,65.625,?,?,?,?
hepatitis,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,12,4,0,75,25,0,0.428571,0.307081,0.490007,87.031971,112.573902,13.112639,19.462403,-6.349764,0.81954,1.2164,-0.39686,0.672103,0.042006,91.67562,0.75,3,0.25,3,0.75,9,0.25,1,0.5,0.75,0.6,0.447214,0.75,0.575,0.75,0.25,0.75,0.25,0.8,0.75,0.763636,0.447214,0.75,0.832427,0.709091,0.75,0,0.001,0.01,0,10,0,6484,29429,6182,93.75,78.125,?,?,?,?
hepatitis,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,15,1,0,93.75,6.25,0,0.818182,0.07317,0.197042,22.8314,50.377619,11.184744,2.592259,8.592484,0.699046,0.162016,0.53703,8.200202,0.512513,1098.138501,1,3,0.076923,1,0.923077,12,0,0,0.75,1,0.857143,0.83205,1,1,0.9375,0.014423,0.985577,0.0625,0.953125,0.9375,0.940714,0.83205,1,1,0.908571,0.9375,0.001,0.001,0,0,0,0,6484,29429,6182,100,59.375,?,?,?,?
hepatitis,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,13,3,0,81.25,18.75,0,0.454545,0.212904,0.431371,66.433144,110.288586,11.184744,29.688049,-18.503306,0.699046,1.855503,-1.156457,2.806728,0.175421,375.865925,0.666667,2,0.153846,2,0.846154,11,0.333333,1,0.5,0.666667,0.571429,0.46225,0.641026,0.566667,0.8125,0.299679,0.700321,0.1875,0.838542,0.8125,0.822143,0.46225,0.641026,0.801287,0.725714,0.8125,0,0.001,0,0,0,0,6484,29429,6182,81.25,56.25,?,?,?,?
hepatitis,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,15,1,0,93.75,6.25,0,0.764706,0.075358,0.209261,23.514292,53.501646,11.184744,2.672399,8.512344,0.699046,0.167025,0.532022,7.937462,0.496091,1062.953414,0.666667,2,0,0,1,13,0.333333,1,1,0.666667,0.8,0.786796,0.974359,0.916667,0.9375,0.270833,0.729167,0.0625,0.941964,0.9375,0.932407,0.786796,0.974359,0.979911,0.881481,0.9375,0.001,0,0,0.01,0,10,6484,29429,6182,100,56.25,?,?,?,?
hepatitis,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,11,4,0,73.333333,26.666667,0,0.166667,0.285644,0.505633,87.416823,126.35801,10.837276,57.066537,-46.229261,0.722485,3.804436,-3.081951,-0.667239,-0.044483,-89.694871,0.333333,1,0.166667,2,0.833333,10,0.666667,2,0.333333,0.333333,0.333333,0.166667,0.666667,0.344444,0.733333,0.566667,0.433333,0.266667,0.733333,0.733333,0.733333,0.166667,0.666667,0.798228,0.583333,0.733333,0,0.001,0,0,0,0,6484,29618,5993,80,56.666667,?,?,?,?
hepatitis,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,14,1,0,93.333333,6.666667,0,0.814815,0.083368,0.260864,25.513357,65.190051,10.837276,11.441641,-0.604365,0.722485,0.762776,-0.040291,7.873916,0.524928,1058.46604,1,3,0.083333,1,0.916667,11,0,0,0.75,1,0.857143,0.829156,0.972222,0.916667,0.933333,0.016667,0.983333,0.066667,0.95,0.933333,0.936646,0.829156,0.972222,0.978205,0.906832,0.933333,0.001,0,0,0,0,0,6484,29618,5993,93.333333,56.666667,?,?,?,?
hepatitis,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,13,2,0,86.666667,13.333333,0,0.666667,0.111924,0.311041,34.252465,77.729452,10.837276,27.68471,-16.847434,0.722485,1.845647,-1.123162,6.230558,0.415371,837.554619,1,3,0.166667,2,0.833333,10,0,0,0.6,1,0.75,0.707107,0.916667,0.638889,0.866667,0.033333,0.966667,0.133333,0.92,0.866667,0.877273,0.707107,0.916667,0.914444,0.829545,0.866667,0,0.001,0,0,0,0,6484,29618,5993,93.333333,53.333333,?,?,?,?
hepatitis,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,12,3,0,80,20,0,0.444444,0.231948,0.406881,70.983962,101.679956,10.837276,12.809278,-1.972002,0.722485,0.853952,-0.131467,1.743962,0.116264,234.435372,0.666667,2,0.166667,2,0.833333,10,0.333333,1,0.5,0.666667,0.571429,0.452267,0.861111,0.666667,0.8,0.3,0.7,0.2,0.827273,0.8,0.809938,0.452267,0.861111,0.907493,0.720497,0.8,0.001,0,0,0,0,0,6484,29618,5993,93.333333,66.666667,?,?,?,?
hepatitis,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,14,1,0,93.333333,6.666667,0,0.761905,0.089491,0.262809,27.387471,65.676289,10.837276,19.469996,-8.63272,0.722485,1.298,-0.575515,7.72981,0.515321,1039.094371,0.666667,2,0,0,1,12,0.333333,1,1,0.666667,0.8,0.784465,0.722222,0.74359,0.933333,0.266667,0.733333,0.066667,0.938462,0.933333,0.928,0.784465,0.722222,0.858931,0.88,0.933333,0,0.001,0,0,0,0,6484,29618,5993,93.333333,60,?,?,?,?
